"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"b=0.45",15.5232636657842,14.0699330971416,15.0269472826229,14.7496685095513,17.5918755728075,17.8145979836642,20.5300840667694,23.8167908929791,26.7264540455442,27.2964477718442,28.7827281987242,27.860302083326
"b=0.455",15.6231304140719,13.8662191016585,15.1318057759307,14.8556235926515,17.5025675723124,18.1149068736509,20.3175681030194,23.8565617698871,26.3423206961538,27.0993665392079,29.1356351191006,28.5314486090695
"b=0.46",15.6460837230934,13.7872644519049,15.308567106479,14.9311043240171,17.2557808999603,18.3082873306725,20.090164257217,23.8991322042864,25.6149505339937,26.8753175069339,30.118334210098,29.0154745648599
"b=0.465",15.6865953933859,13.771467224702,15.4222312786602,14.8584749454927,17.1169540669458,18.6165655944849,19.8113746867296,24.154551414383,25.4239828636008,27.0625925012324,30.8367481988623,29.9360786416928
"b=0.47",15.7556532732782,13.7549975960242,15.6455289569156,14.9035875562623,16.9894677549414,18.9172827536826,19.8756217068327,24.2768479614571,26.0341132626596,27.7950972007908,30.9113656126837,29.8686684800812
"b=0.475",15.8514524907601,13.7427756647652,15.890589107816,14.9971395618226,17.2475264375734,18.9460543720833,20.1537393035674,24.4489754802536,26.6138363240279,28.0491152272583,30.4746163950007,29.8445772373041
"b=0.48",15.8285943757664,13.6896564657127,16.013992805483,15.2020256927398,17.3397360131907,18.8665819737288,20.0988802609357,24.8063853703516,27.6754240222233,27.5717614014362,30.138668074828,29.3729336379104
"b=0.485",15.7330159884033,13.6927706387548,16.1020919810419,15.5391918131788,17.2185599021366,18.6897947327512,20.0640798306794,25.1671281923325,29.2820993104339,27.561768381451,29.6116789196156,29.5426358326201
"b=0.49",15.6276555570206,13.8528550804146,16.2747932788212,15.7670855172953,17.2899565428707,18.7424751585103,20.3713790362534,25.0451347554598,30.5199316012639,28.2645635917792,29.3089216756836,30.2398850993793
"b=0.495",15.5760510265119,13.9543254087617,16.4362376538385,15.8928610408088,17.6057799448004,18.9778862367949,20.8216398200039,25.2509535702238,30.3890612385939,29.1420717481223,28.6768282757517,30.4826389179611
"b=0.5",15.5937876190009,13.9709712526809,16.681780572009,16.0871896947032,18.0250282945632,18.9114316452224,21.0912092638036,25.9897619446228,30.2682969966443,29.8458979487233,29.4179799646907,31.3284049660372
"b=0.505",15.6277409986473,13.9477215544093,16.8971233795162,16.3922063233389,18.4170738989661,19.2319268319071,21.7757290998332,26.4768882358362,30.1315461933877,29.7548141673634,29.5862810684249,30.9619969998077
"b=0.51",15.6219996430054,13.9770044170979,16.936078728366,16.7968155174151,18.3107772891242,19.9634705932342,22.1893215268255,27.0827619150453,29.9194750727657,29.2567695140132,30.7828579456334,30.4668841300178
"b=0.515",15.6151232448296,14.1543581017835,17.1152923463512,17.1583546336179,18.6067389841254,20.6291582685121,22.2484542932971,27.5262400669097,28.6140359744106,28.7605500604537,32.0611233682186,31.1244590457172
"b=0.52",15.623359475376,14.4254954202629,17.248315321641,17.2628684859146,18.9783918599359,20.8462385392175,22.2542935628179,27.3431398166777,28.6358843341824,29.2718254814645,32.50443497856,31.8536138160574
"b=0.525",15.6741292016121,14.4994490692537,17.3803146480802,17.2316862081836,19.3575040327832,20.9913218827927,22.3413584894413,27.3346033685467,28.0627346920397,29.3041364763259,32.0089774654996,32.3207996522772
"b=0.53",15.7403684298595,14.585957924647,17.4172845001846,16.9558219776878,19.327307676513,21.0178488501747,22.8479475004826,27.8474640715097,27.5298092725696,29.0655570492527,32.241409272387,32.4128528134097
"b=0.535",15.8933697920981,14.7198870101026,17.6836671541513,16.7482711943746,19.30579355951,21.012036671364,22.7988757155796,28.2706181887293,27.5313079545847,29.2124037969583,32.6800439814558,33.0613291820762
"b=0.54",16.0372266492068,14.7014085882558,18.1439011305125,16.7387501383057,19.0752489979397,20.7721378680771,22.8665157749903,28.4224387170891,28.3236821933251,29.659368587699,33.743089549205,34.6463926113723
"b=0.545",16.1950372227508,14.7079802007434,18.6130150359403,16.9534091721769,19.2903517890585,20.7272152549072,23.0007944245238,28.6777507378439,29.8079189884305,29.4511877489944,34.1665331331752,35.1778981381646
"b=0.55",16.4085430886725,15.1461250966285,19.1651986572677,16.945439129569,19.5800692813111,21.0826377931723,23.5067662662137,28.5156729890075,31.6585591626454,30.0903834823802,35.176562644483,36.2100651940252
"b=0.555",16.7123776730359,15.7287853825127,19.3601684087648,17.174502859348,19.8246723432326,21.5202296157526,23.6755825251384,28.0372223837962,32.7766495280252,30.9981085068903,35.6550595800575,36.7483473546406
"b=0.56",17.1571432543384,16.3137725528192,19.4676027760612,17.2523771641103,20.36547211538,21.9000157048649,23.9169834515585,27.3740765242428,33.0904387341577,31.6859639923717,35.6739542928886,36.7628502551822
"b=0.565",17.6524665074802,16.8490708545389,19.6253929748655,17.3209306985653,21.0655126107838,21.8707384848481,24.360381312364,26.6474949429765,32.5672043778052,31.3341098370888,34.8801968845076,36.3748119329134
"b=0.57",18.1438375713882,17.3795865656882,19.8133163504845,17.5883095703104,21.7663414839485,21.8409160569682,24.7351643020886,26.7277232374249,32.2634542422398,31.4991130179736,34.1725863664537,35.4698968942613
"b=0.575",18.3904267261979,17.6195025761248,19.8936766462381,17.9444186861169,22.070860463431,22.2555870799773,25.3669302392722,26.81823517122,32.4225505426717,31.519313907262,34.1805187061795,35.0171862925605
"b=0.58",18.3982307343383,17.7961951729541,19.7622404357566,18.0796432226383,22.0131783448896,22.4277497602445,25.5576096491981,26.2267450795704,32.4763573846645,31.3872019585752,34.0200911547377,35.7354991656718
"b=0.585",18.5341993963196,17.9654683856946,19.4805587303086,17.8136820669339,21.9466771395343,22.2183950085461,25.4394973181296,26.3556698435406,32.1733025825513,30.9085285232845,34.2774393864209,35.7701165674085
"b=0.59",18.7469266669156,18.1737415245987,19.1725623559159,17.6509815845792,22.2962825019309,21.6330569751496,25.5195411317865,26.6850444683363,31.8219283053978,30.3036713510928,35.1432300499888,36.9175208545116
"b=0.595",18.9569648103944,18.4339526498967,18.928490450476,17.8283898953461,22.5769930047699,21.7124645936656,25.9303157225249,27.2514231232496,32.4319051054465,30.4733071464605,37.0167806235731,38.0764325472205
"b=0.6",19.1547932260821,18.7000472428238,18.8262191794265,18.1041953640321,22.8906877128641,21.9204709664562,26.2268414351656,27.4086550689752,33.9791350415826,32.0339960005783,37.9561808043748,39.2464382894288
"b=0.605",19.367022949037,18.9867434035132,18.8413948320165,18.3676353331383,23.2053684362104,22.1983252362995,26.3242125472048,27.0824807603475,35.3358373131647,33.6822571552582,38.2583390753921,39.8892747653736
"b=0.61",19.6452592111306,19.3188389450517,19.0190259785358,18.6392998221251,23.5730630261413,22.4334315182555,26.0831989081559,27.268887004261,35.7157525726744,34.0823055745827,39.4249906216003,40.3691773168593
"b=0.615",19.5500301783486,19.469467015021,19.2451532125423,18.8296871258251,23.8021325372716,22.9451317641592,26.9397098907854,27.8472654731471,35.4923577169392,33.5719725841466,40.1817644868597,40.4637468672212
"b=0.62",19.3222932585378,19.5156891174853,19.5604881797253,19.0106061797944,24.1688727572467,23.2339331440233,28.0390805014011,28.2441053284457,34.2848855421632,33.0792107395611,40.558175226354,39.8254074980223
"b=0.625",19.1944729270901,19.610530160046,19.8844099996385,19.3667361300014,24.6547384277439,23.1889402394609,28.893835238645,28.2997890575184,33.732614624687,33.1576515717875,40.0688086180756,39.1606086911099
"b=0.63",19.0917159917222,19.7418840720035,20.276662487143,19.7704419437769,24.9341756701562,23.1216595305187,28.7710869025463,28.9013897566823,33.738887427565,33.1823676824528,39.4661617205841,39.5815278428137
"b=0.635",19.0524110829134,19.759368112669,20.6954022497668,20.1216543221103,24.9409686185623,23.2583083002785,28.806052493175,29.1739894472069,34.0488218107105,33.267006389497,37.8581021882655,38.7825842268086
"b=0.64",19.1353436672465,19.7907553576977,21.2500990369036,20.3837678994528,25.1008930058115,23.4443359480152,29.050784494576,29.7522976773075,35.3532621617316,34.044737743296,37.4712618741794,38.9743285105191
"b=0.645",19.3173927793216,19.795075157796,21.6838432973027,20.4304917228652,25.1022269827468,23.636313589399,28.9748042996332,30.1463457673801,36.2944044501992,35.3883784493385,37.6019143213122,40.3611428958222
"b=0.65",19.5367745148649,19.751546618921,21.8803653845477,20.6050875414393,25.3025473223933,23.9604403379923,28.7836335278856,30.5161045134685,37.3322763708628,36.3122169834495,38.9003889616444,41.1380928445943
"b=0.655",19.7798015914664,19.6668248430787,22.1337826778485,20.9138202258043,25.4899472853388,24.0122211348615,28.6869628469231,30.5268142998052,37.863536945215,36.4257671344711,39.8448521175467,41.0340750722516
"b=0.66",20.0066562706558,19.5413859673017,22.2668604728544,21.0069111487882,25.320886193094,24.2564921606274,28.4870048541347,30.9705465992663,38.4832106818218,36.6740833135275,39.2441207649067,40.553743388378
"b=0.665",20.279940596045,19.4286938347591,22.342036879702,20.9481082213222,25.0579907895404,24.3979447474826,29.0354627790508,31.2391873160349,38.8513694910579,37.1637118363668,39.1039636374371,40.8029370391224
"b=0.67",20.5784411937139,19.422594897563,22.52814011485,21.2906302514825,24.8672366857369,24.8556600915041,29.7248019380564,31.9260275542533,38.6476568522085,37.1860152164548,40.6034276535904,41.2921543437685
